序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
1,000001,上证指数,3429.76,0.11,3.63,454916063,586338207325.5,0.4,3437.07,3423.3,3434.57,3426.13,0.89
2,399001,深证成指,11014.75,0.52,56.93,670260918,933349997313.0634,0.75,11041.41,10958.87,10999.32,10957.82,0.93
3,899050,北证50,1441.88,0.42,6.0,20519323,44782320901.0,1.98,1447.97,1419.49,1443.48,1435.88,1.06
4,399006,创业板指,2228.64,0.61,13.51,238408415,461631427130.75,1.21,2242.22,2215.37,2225.2,2215.13,0.95
5,000680,科创综指,1269.23,0.51,6.4,30549093,114013735224.0,1.28,1282.11,1265.97,1266.86,1262.83,0.94
6,000688,科创50,1089.83,0.61,6.62,30549093,114013735224.0,1.49,1103.49,1087.34,1087.34,1083.21,0.94
7,399750,深主板50,8732.41,0.65,56.08,27413015,57538476663.5,1.04,8759.92,8669.26,8713.12,8676.33,0.92
8,000300,沪深300,4007.72,0.27,10.93,140208496,292739319544.6,0.52,4016.87,3995.96,4011.78,3996.79,0.84
9,000016,上证50,2739.75,0.07,1.83,38611198,79263946674.0,0.54,2751.73,2737.01,2749.32,2737.92,0.81
10,399850,深证50,7491.1,0.79,58.72,25708778,88962275842.35,1.17,7510.5,7423.61,7467.27,7432.38,0.89
11,000888,上证综合全收益,3833.96,0.11,4.06,454916063,586338207325.5,0.4,3842.13,3826.74,3839.33,3829.9,0.89
12,399005,中小100,6847.32,0.43,29.27,32382297,74863038495.25,0.84,6879.41,6822.04,6849.7,6818.05,0.85
13,930050,中证A50,1610.87,0.43,6.82,30633919,89486950749.0,0.65,1616.43,1606.06,1612.84,1604.05,0.85
14,000903,中证A100,3845.82,0.42,16.04,62223627,153619173349.9,0.56,3856.63,3835.12,3847.05,3829.78,0.87
15,000510,中证A500,4765.55,0.37,17.45,233356759,430310416382.2,0.56,4778.26,4751.57,4765.91,4748.1,0.87
16,000904,中证200,4692.68,0.31,14.48,71890897,145547703232.0,0.56,4703.06,4676.83,4691.39,4678.2,0.86
17,000905,中证500,6133.3,0.41,25.28,166023043,236342189394.2,0.77,6161.23,6114.21,6126.04,6108.02,0.87
18,000906,中证800,4361.17,0.31,13.5,306231539,529081508938.8,0.55,4373.64,4349.61,4363.06,4347.67,0.85
19,000852,中证1000,6611.93,0.34,22.36,234726563,344774184042.9,0.92,6642.86,6581.96,6605.04,6589.57,0.88
20,932000,中证2000,2716.9,0.6,16.18,366664199,447139515300.0,0.89,2718.36,2694.38,2707.17,2700.72,0.97
21,000985,中证全指,5060.94,0.36,18.1,1104813792,1514930623318.0,0.63,5072.93,5041.09,5058.23,5042.84,0.91
22,000010,上证180,8770.16,0.18,16.18,91061176,155755570985.0,0.46,8798.19,8757.84,8786.54,8753.98,0.81
23,000009,上证380,5695.04,0.33,18.72,71788320,118283856345.0,0.6,5707.81,5673.47,5687.8,5676.32,0.88
24,000132,上证100,5421.02,0.76,41.06,13753770,33418742526.0,0.88,5427.95,5380.85,5390.09,5379.96,0.94
25,000133,上证150,5282.18,0.53,27.76,17352965,33485609909.0,1.19,5324.51,5261.78,5261.78,5254.42,0.93
26,000003,Ｂ股指数,274.57,0.18,0.48,396197,169898224.5,0.57,274.6,273.04,274.05,274.09,0.8
27,000012,国债指数,222.18,-0.03,-0.06,5036427,5233827364.0,0.05,222.27,222.15,222.26,222.24,0.83
28,000013,企债指数,295.9,0.0,0.0,4018225,4042606119.0,0.01,295.93,295.9,295.93,295.9,0.76
29,000011,基金指数,7212.37,0.54,38.92,964457815,173502382191.0,0.58,7236.57,7195.2,7207.53,7173.45,0.83
30,399002,深成指R,14527.86,0.52,75.08,431686091,471639697397.17,0.75,14563.03,14454.16,14507.52,14452.78,0.91
31,399003,成份Ｂ指,8357.15,-0.09,-7.44,166413,78872785.1434,0.48,8379.62,8339.68,8363.53,8364.59,1.08
32,399106,深证综指,2122.66,0.49,10.36,670260918,933349997313.0634,0.72,2126.61,2111.33,2118.86,2112.3,0.93
33,399004,深证100R,6660.66,0.66,43.46,42137270,128657940922.05,0.95,6677.71,6615.04,6646.15,6617.2,0.9
34,399007,深证300,4591.22,0.54,24.62,102963403,241955121764.22,0.73,4601.65,4568.12,4584.81,4566.6,0.85
35,399008,中小300,1395.16,0.42,5.83,105039604,164470224254.16,0.83,1400.67,1389.11,1395.17,1389.33,0.83
36,399293,创业大盘,4204.22,0.83,34.69,13422494,71854470159.51,1.11,4217.87,4171.43,4191.25,4169.53,0.84
37,399019,创业200,4111.09,0.38,15.58,65808134,114775791307.38,1.35,4144.1,4088.7,4104.31,4095.51,0.93
38,399020,创业小盘,1613.03,0.53,8.51,59452316,105512945493.58,1.32,1617.92,1596.8,1609.18,1604.52,0.99
39,399100,新指数,9978.33,0.48,47.33,651755221,923071905324.39,0.72,9996.99,9925.21,9962.53,9931.0,0.92
40,399550,央视50,7538.19,0.07,5.08,19123704,52214505511.66,0.74,7570.3,7514.56,7555.86,7533.11,0.86
