序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
1,000001,上证指数,3419.56,1.81,60.83,582663388,750041647163.9,1.8,3421.23,3360.61,3361.69,3358.73,1.2
2,399001,深证成指,10978.3,2.26,242.11,758213807,1041778692502.2303,2.31,10985.95,10737.63,10741.52,10736.19,1.04
3,899050,北证50,1409.76,3.17,43.26,21801724,49443957327.0,4.46,1416.79,1355.87,1364.91,1366.5,1.22
4,399006,创业板指,2226.72,2.8,60.72,265860088,507505990281.64,3.32,2233.83,2161.89,2165.53,2166.0,1.06
5,000680,科创综指,1261.62,1.66,20.59,33196342,127738215778.0,2.16,1262.54,1235.74,1240.93,1241.03,0.95
6,000688,科创50,1088.11,1.72,18.41,33196342,127738215778.0,1.89,1089.26,1069.01,1070.8,1069.7,0.95
7,399750,深主板50,8695.58,2.41,204.45,34764620,79195796343.35,2.32,8698.47,8501.06,8501.06,8491.13,1.19
8,000300,沪深300,4006.56,2.43,94.98,216139003,450895278803.0,2.42,4014.16,3919.62,3919.62,3911.58,1.39
9,000016,上证50,2740.51,2.85,75.89,65485152,138676918070.0,2.78,2748.1,2674.03,2674.49,2664.62,1.47
10,399850,深证50,7465.35,2.72,197.86,40184943,130632952547.28,2.91,7482.56,7271.19,7274.19,7267.49,1.56
11,000888,上证综合全收益,3822.56,1.81,68.0,582663388,750041647163.9,1.81,3824.43,3756.66,3757.86,3754.56,1.2
12,399005,中小100,6815.11,2.12,141.26,44119001,91716027094.59,2.08,6815.11,6676.01,6676.01,6673.85,1.13
13,930050,中证A50,1610.64,3.14,48.97,49311545,139560455141.0,2.97,1613.34,1566.89,1567.05,1561.67,1.45
14,000903,中证A100,3841.43,2.47,92.52,89390886,214792695542.0,2.42,3847.85,3757.13,3757.6,3748.91,1.28
15,000510,中证A500,4755.15,2.29,106.62,305423012,575671397573.5,2.25,4760.57,4656.05,4656.84,4648.53,1.12
16,000904,中证200,4691.09,1.88,86.68,99816389,198408779090.0,1.83,4693.88,4609.4,4609.4,4604.41,1.24
17,000905,中证500,6099.98,1.77,106.01,219245834,289038080526.0,2.03,6099.98,5978.53,5993.97,5993.97,1.18
18,000906,中证800,4353.99,2.25,95.98,435384837,739933359329.0,2.2,4358.3,4264.45,4264.45,4258.01,1.27
19,000852,中证1000,6571.17,1.61,104.32,276329994,384170674116.1,2.28,6575.82,6428.22,6463.92,6466.85,1.01
20,932000,中证2000,2679.82,1.79,47.25,391854766,463901297635.0,2.74,2680.76,2608.67,2628.92,2632.57,1.05
21,000985,中证全指,5037.25,2.05,101.28,1323224547,1792960970650.0,2.08,5037.25,4934.48,4938.91,4935.97,1.1
22,000010,上证180,8770.55,2.23,191.38,144767952,257697069986.0,2.15,8784.45,8600.39,8600.39,8579.17,1.39
23,000009,上证380,5666.12,1.59,88.6,91884389,145917730864.0,1.72,5667.57,5571.43,5578.93,5577.52,1.18
24,000132,上证100,5363.24,1.59,83.97,15316172,38201479314.0,1.63,5363.5,5277.38,5295.0,5279.27,1.01
25,000133,上证150,5225.07,2.47,125.92,18317574,34244540708.0,2.98,5225.78,5073.87,5099.12,5099.15,0.97
26,000003,Ｂ股指数,271.08,1.52,4.05,574045,243797838.9,1.7,271.08,266.54,266.66,267.03,1.28
27,000012,国债指数,222.53,-0.03,-0.07,5592058,5797981748.0,0.08,222.6,222.42,222.6,222.6,0.82
28,000013,企债指数,295.85,0.01,0.02,3370890,3402826455.0,0.0,295.86,295.85,295.86,295.83,0.69
29,000011,基金指数,7186.62,2.1,147.49,1442242483,241109318074.0,1.92,7189.14,7053.67,7054.34,7039.13,1.2
30,399002,深成指R,14479.79,2.26,319.32,492218608,534197540449.44,2.31,14489.88,14162.35,14167.49,14160.47,1.03
31,399003,成份Ｂ指,8298.45,1.62,132.3,135111,75161771.1504,1.63,8298.45,8165.66,8173.26,8166.15,0.82
32,399106,深证综指,2109.37,2.05,42.42,758213807,1041778692502.2303,2.23,2109.86,2063.83,2066.64,2066.95,1.04
33,399004,深证100R,6650.12,2.61,169.07,61619990,184377660223.1,2.78,6666.1,6485.75,6486.73,6481.05,1.42
34,399007,深证300,4580.0,2.36,105.76,149817817,327663112987.5,2.42,4585.79,4477.42,4477.52,4474.24,1.27
35,399008,中小300,1388.73,1.83,24.93,127275287,191400257335.54,1.92,1388.73,1362.6,1363.42,1363.8,0.92
36,399293,创业大盘,4193.07,2.91,118.74,23904182,102049517330.28,3.61,4212.49,4065.39,4074.67,4074.33,1.73
37,399019,创业200,4078.69,2.46,97.83,71470435,123388738698.09,3.39,4079.52,3944.52,3971.21,3980.86,0.95
38,399020,创业小盘,1593.56,2.22,34.65,62272999,108344457813.94,3.41,1594.27,1541.17,1555.96,1558.91,1.05
39,399100,新指数,9922.28,2.05,199.78,740499433,1034219112835.16,2.22,9924.87,9708.99,9721.34,9722.5,1.04
40,399550,央视50,7547.33,2.85,208.95,30773387,84571141971.67,2.69,7549.94,7352.5,7352.5,7338.38,1.51
