代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳
bj430017,星昊医药,18.0,0.36,2.041,17.95,18.0,17.64,18.0,18.0,18.0,124419.0,2239542.0,09:28:24
bj430047,诺思兰德,14.14,0.14,1.0,14.14,14.17,14.0,14.14,14.14,14.14,14854.0,210036.0,09:28:24
bj430090,同辉信息,8.0,0.0,0.0,8.0,8.01,8.0,8.0,8.0,8.0,348545.0,2788360.0,09:28:24
bj430139,华岭股份,28.3,0.02,0.071,28.3,28.32,28.28,28.3,28.3,28.3,31018.0,877809.0,09:28:24
bj430198,微创光电,16.63,0.16,0.971,16.52,16.63,16.47,16.63,16.63,16.63,27721.0,461000.0,09:28:24
bj430300,辰光医疗,20.35,1.35,7.105,20.35,20.36,19.0,20.35,20.35,20.35,347537.0,7072378.0,09:28:24
bj430418,苏轴股份,41.75,-0.3,-0.713,41.68,41.75,42.05,41.75,41.75,41.75,27210.0,1136018.0,09:28:24
bj430425,乐创技术,31.17,-0.01,-0.032,31.06,31.17,31.18,31.17,31.17,31.17,24383.0,760018.0,09:28:24
bj430476,海能技术,15.66,0.04,0.256,15.66,15.67,15.62,15.66,15.66,15.66,294327.0,4609161.0,09:28:24
bj430478,峆一药业,22.93,0.09,0.394,22.91,22.93,22.84,22.93,22.93,22.93,8593.0,197037.0,09:28:24
bj430489,佳先股份,24.54,0.06,0.245,24.51,24.54,24.48,24.54,24.54,24.54,26886.0,659782.0,09:28:24
bj430510,丰光精密,24.85,0.02,0.081,24.85,24.92,24.83,24.85,24.85,24.85,17261.0,428936.0,09:28:24
bj430556,雅达股份,12.65,0.22,1.77,12.59,12.65,12.43,12.65,12.65,12.65,113826.0,1439899.0,09:28:24
bj430564,天润科技,32.12,1.89,6.252,32.12,32.22,30.23,32.12,32.12,32.12,346943.0,11143809.0,09:28:24
bj430685,新芝生物,15.04,0.15,1.007,15.04,15.09,14.89,15.04,15.04,15.04,30411.0,457381.0,09:28:24
bj430718,合肥高科,19.22,0.14,0.734,19.22,19.23,19.08,19.22,19.22,19.22,6200.0,119164.0,09:28:24
bj830779,武汉蓝电,62.26,0.26,0.419,62.13,62.26,62.0,62.26,62.26,62.26,12908.0,803652.0,09:28:24
bj830799,艾融软件,61.57,-2.42,-3.782,61.55,61.57,63.99,61.57,61.57,61.57,257664.0,15864372.0,09:28:24
bj830809,安达科技,6.69,-0.05,-0.742,6.69,6.7,6.74,6.69,6.69,6.69,134961.0,902889.0,09:28:24
bj830832,齐鲁华信,8.83,0.24,2.794,8.62,8.83,8.59,8.83,8.83,8.83,75769.0,669040.0,09:28:24
bj830839,万通液压,30.01,0.35,1.18,30.01,30.04,29.66,30.01,30.01,30.01,68659.0,2060457.0,09:28:24
bj830879,基康仪器,18.44,0.3,1.654,18.4,18.44,18.14,18.44,18.44,18.44,35191.0,648922.0,09:28:24
bj830896,旺成科技,22.94,-0.17,-0.736,22.94,23.0,23.11,22.94,22.94,22.94,19953.0,457722.0,09:28:24
bj830946,森萱医药,10.98,0.16,1.479,10.91,10.98,10.82,10.98,10.98,10.98,74706.0,820272.0,09:28:24
bj830964,润农节水,8.58,0.08,0.941,8.55,8.58,8.5,8.58,8.58,8.58,40928.0,351162.0,09:28:24
bj830974,凯大催化,10.04,0.0,0.0,10.01,10.04,10.04,10.04,10.04,10.04,115539.0,1160012.0,09:28:24
bj831010,凯添燃气,16.75,-0.62,-3.569,16.75,16.77,17.37,16.75,16.75,16.75,363103.0,6081975.0,09:28:24
bj831039,国义招标,11.03,0.03,0.273,11.03,11.13,11.0,11.03,11.03,11.03,35629.0,392988.0,09:28:24
bj831087,秋乐种业,13.54,0.09,0.669,13.53,13.54,13.45,13.54,13.54,13.54,36535.0,494684.0,09:28:24
bj831152,昆工科技,23.14,0.51,2.254,22.98,23.14,22.63,23.14,23.14,23.14,54182.0,1253771.0,09:28:24
bj831167,鑫汇科,30.76,0.31,1.018,30.62,30.76,30.45,30.76,30.76,30.76,13188.0,405663.0,09:28:24
bj831175,派诺科技,27.0,0.0,0.0,27.0,27.03,27.0,27.0,27.0,27.0,47460.0,1281420.0,09:28:24
bj831195,三祥科技,16.3,0.14,0.866,16.22,16.3,16.16,16.3,16.3,16.3,24838.0,404859.0,09:28:24
bj831278,泰德股份,15.34,0.09,0.59,15.3,15.34,15.25,15.34,15.34,15.34,20254.0,310696.0,09:28:24
bj831304,迪尔化工,15.7,0.31,2.014,15.7,15.75,15.39,15.7,15.7,15.7,72143.0,1132645.0,09:28:24
bj831305,海希通讯,22.27,-0.43,-1.894,22.27,22.3,22.7,22.27,22.27,22.27,128655.0,2865147.0,09:28:24
bj831370,新安洁,4.59,0.01,0.218,4.59,4.6,4.58,4.59,4.59,4.59,80934.0,371487.0,09:28:24
bj831396,许昌智能,14.6,0.19,1.319,14.51,14.6,14.41,14.6,14.6,14.6,80619.0,1177037.0,09:28:24
bj831445,龙竹科技,10.66,0.28,2.697,10.66,10.67,10.38,10.66,10.66,10.66,91725.0,977789.0,09:28:24
bj831526,凯华材料,34.05,-0.34,-0.989,34.02,34.05,34.39,34.05,34.05,34.05,19040.0,648312.0,09:28:24
bj831627,力王股份,33.19,0.01,0.03,33.19,33.24,33.18,33.19,33.19,33.19,21205.0,703794.0,09:28:24
bj831641,格利尔,19.18,0.37,1.967,19.18,19.2,18.81,19.18,19.18,19.18,15747.0,302027.0,09:28:24
bj831689,克莱特,48.99,4.03,8.964,48.97,48.99,44.96,48.99,48.99,48.99,542492.0,26576683.0,09:28:24
bj831726,朱老六,25.6,-1.38,-5.115,25.6,25.66,26.98,25.6,25.6,25.6,303529.0,7770342.0,09:28:24
bj831768,拾比佰,11.27,0.28,2.548,11.27,11.28,10.99,11.27,11.27,11.27,63459.0,715183.0,09:28:24
bj831832,科达自控,36.1,0.68,1.92,36.1,36.26,35.42,36.1,36.1,36.1,47083.0,1699696.0,09:28:24
bj831834,三维股份,11.52,0.13,1.141,11.52,11.56,11.39,11.52,11.52,11.52,26954.0,310510.0,09:28:24
bj831855,浙江大农,21.42,0.04,0.187,21.42,21.5,21.38,21.42,21.42,21.42,28800.0,616896.0,09:28:24
bj831856,浩淼科技,26.1,0.0,0.0,26.1,26.12,26.1,26.1,26.1,26.1,58245.0,1520195.0,09:28:24
bj831906,舜宇精工,29.1,0.22,0.762,28.97,29.1,28.88,29.1,29.1,29.1,12227.0,355806.0,09:28:24
bj831961,创远信科,23.0,0.37,1.635,22.99,23.0,22.63,23.0,23.0,23.0,154495.0,3553385.0,09:28:24
bj832000,安徽凤凰,28.51,-1.12,-3.78,28.51,28.73,29.63,28.51,28.51,28.51,151945.0,4331952.0,09:28:24
bj832023,田野股份,6.35,0.21,3.42,6.35,6.36,6.14,6.35,6.35,6.35,812412.0,5158816.0,09:28:24
bj832089,禾昌聚合,16.45,0.0,0.0,16.45,16.47,16.45,16.45,16.45,16.45,70407.0,1158195.0,09:28:24
bj832110,雷特科技,38.18,-0.42,-1.088,38.18,38.19,38.6,38.18,38.18,38.18,23633.0,902308.0,09:28:24
bj832145,恒合股份,18.28,0.1,0.55,18.28,18.44,18.18,18.28,18.28,18.28,11153.0,203877.0,09:28:24
bj832149,利尔达,16.98,0.23,1.373,16.88,16.98,16.75,16.98,16.98,16.98,294219.0,4995839.0,09:28:24
bj832171,志晟信息,36.01,-2.86,-7.358,36.01,36.2,38.87,36.01,36.01,36.01,575274.0,20715617.0,09:28:24
bj832175,东方碳素,14.39,0.0,0.0,14.39,14.4,14.39,14.39,14.39,14.39,52777.0,759461.0,09:28:24
bj832225,利通科技,16.3,-0.17,-1.032,16.3,16.35,16.47,16.3,16.3,16.3,195442.0,3185705.0,09:28:24
bj832278,鹿得医疗,10.81,-0.14,-1.279,10.81,10.86,10.95,10.81,10.81,10.81,24413.0,263905.0,09:28:24
bj832419,路斯股份,19.6,0.0,0.0,19.58,19.6,19.6,19.6,19.6,19.6,80186.0,1571646.0,09:28:24
bj832469,富恒新材,16.33,0.13,0.802,16.25,16.33,16.2,16.33,16.33,16.33,32937.0,537861.0,09:28:24
bj832471,美邦科技,18.1,-0.26,-1.416,18.1,18.12,18.36,18.1,18.1,18.1,41751.0,755693.0,09:28:24
bj832491,奥迪威,34.05,0.01,0.029,34.04,34.05,34.04,34.05,34.05,34.05,38554.0,1312764.0,09:28:24
bj832522,纳科诺尔,66.01,0.11,0.167,66.0,66.01,65.9,66.01,66.01,66.01,27603.0,1822074.0,09:28:24
bj832566,梓橦宫,12.45,0.04,0.322,12.43,12.45,12.41,12.45,12.45,12.45,61726.0,768489.0,09:28:24
bj832651,天罡股份,32.05,1.03,3.32,32.05,32.11,31.02,32.05,32.05,32.05,50723.0,1625672.0,09:28:24
bj832662,方盛股份,31.5,-0.57,-1.777,31.48,31.5,32.07,31.5,31.5,31.5,30225.0,952088.0,09:28:24
bj832735,德源药业,39.15,0.04,0.102,39.15,39.19,39.11,39.15,39.15,39.15,14730.0,576680.0,09:28:24
bj832786,骑士乳业,13.93,3.21,29.944,13.93,0.0,10.72,13.93,13.93,13.93,2997872.0,41760357.0,09:28:24
bj832802,保丽洁,21.85,0.05,0.229,21.85,21.89,21.8,21.85,21.85,21.85,14023.0,306403.0,09:28:24
bj832876,慧为智能,37.19,0.74,2.03,37.19,37.2,36.45,37.19,37.19,37.19,77431.0,2879659.0,09:28:24
bj832885,星辰科技,17.49,0.0,0.0,17.49,17.56,17.49,17.49,17.49,17.49,34313.0,600134.0,09:28:24
bj832978,开特股份,23.26,0.11,0.475,23.26,23.33,23.15,23.26,23.26,23.26,38478.0,894998.0,09:28:24
bj832982,锦波生物,264.0,3.0,1.149,264.0,264.39,261.0,264.0,264.0,264.0,3393.0,895752.0,09:28:24
bj833030,立方控股,39.0,-3.49,-8.214,39.0,39.11,42.49,39.0,39.0,39.0,408759.0,15941601.0,09:28:24
bj833075,柏星龙,36.2,0.29,0.808,36.13,36.2,35.91,36.2,36.2,36.2,88580.0,3206596.0,09:28:24
bj833171,国航远洋,7.36,-0.13,-1.736,7.36,7.37,7.49,7.36,7.36,7.36,676009.0,4975426.0,09:28:24
bj833230,欧康医药,20.59,-0.12,-0.579,20.58,20.59,20.71,20.59,20.59,20.59,16000.0,329440.0,09:28:24
bj833266,生物谷,11.99,-0.1,-0.827,11.99,12.0,12.09,11.99,11.99,11.99,134520.0,1612895.0,09:28:27
bj833284,灵鸽科技,25.68,-0.06,-0.233,25.68,25.72,25.74,25.68,25.68,25.68,76963.0,1976410.0,09:28:27
bj833346,威贸电子,30.6,-0.12,-0.391,30.5,30.6,30.72,30.6,30.6,30.6,24788.0,758513.0,09:28:27
bj833394,民士达,28.68,0.43,1.522,28.68,28.7,28.25,28.68,28.68,28.68,18300.0,524844.0,09:28:27
bj833427,华维设计,16.25,0.18,1.12,16.13,16.25,16.07,16.25,16.25,16.25,40257.0,654176.0,09:28:27
bj833429,康比特,20.97,-0.58,-2.691,20.97,21.0,21.55,20.97,20.97,20.97,157991.0,3313071.0,09:28:27
bj833454,同心传动,19.35,0.4,2.111,19.35,19.53,18.95,19.35,19.35,19.35,24351.0,471192.0,09:28:27
bj833455,汇隆活塞,12.72,0.13,1.033,12.72,12.78,12.59,12.72,12.72,12.72,30058.0,382338.0,09:28:27
bj833509,同惠电子,21.8,0.32,1.49,21.77,21.8,21.48,21.8,21.8,21.8,38723.0,844161.0,09:28:27
bj833523,德瑞锂电,27.24,0.07,0.258,27.24,27.3,27.17,27.24,27.24,27.24,13176.0,358914.0,09:28:27
bj833533,骏创科技,59.0,-0.77,-1.288,58.9,59.0,59.77,59.0,59.0,59.0,37983.0,2240997.0,09:28:27
bj833575,康乐卫士,17.44,-0.41,-2.297,17.43,17.44,17.85,17.44,17.44,17.44,326665.0,5697038.0,09:28:27
bj833580,科创新材,15.11,0.2,1.341,15.11,15.2,14.91,15.11,15.11,15.11,87128.0,1316504.0,09:28:27
bj833751,惠同新材,17.36,0.09,0.521,17.36,17.38,17.27,17.36,17.36,17.36,35542.0,617009.0,09:28:27
bj833781,瑞奇智造,11.83,0.47,4.137,11.83,11.86,11.36,11.83,11.83,11.83,339966.0,4021798.0,09:28:27
bj833819,颖泰生物,3.72,0.02,0.541,3.71,3.72,3.7,3.72,3.72,3.72,68262.0,253935.0,09:28:27
bj833873,中设咨询,6.8,0.13,1.949,6.77,6.8,6.67,6.8,6.8,6.8,136608.0,928934.0,09:28:27
bj833914,远航精密,20.85,-0.31,-1.465,20.85,20.86,21.16,20.85,20.85,20.85,153488.0,3200225.0,09:28:27
