排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,DRG/DIP,BK1054,1066.5,91.7,9.41,165280631000,12.12,18,0,思创医惠,20.12
2,DeepSeek概念,BK1188,1241.44,92.54,8.05,1645292144000,10.52,63,1,航锦科技,10.02
3,MLOps概念,BK1132,1158.79,82.76,7.69,208617397000,9.47,10,0,安恒信息,20.0
4,智谱AI,BK1182,1243.3,78.73,6.76,431808384000,13.28,31,2,神州数码,10.01
5,东数西算,BK1064,1635.82,101.7,6.63,1126897728000,5.61,53,6,拓维信息,10.01
6,AI芯片,BK1127,1384.5,77.28,5.91,1289930768000,5.41,24,2,航锦科技,10.02
7,VPN,BK0885,1255.94,69.61,5.87,342387184000,11.2,21,0,优刻得-W,20.0
8,数据安全,BK1047,1022.11,56.06,5.8,1030064336000,6.73,78,2,瑞斯康达,10.03
9,智慧政务,BK0886,1369.88,73.53,5.67,670748656000,10.21,77,3,拓维信息,10.01
10,商汤概念,BK0942,1251.07,66.53,5.62,535193568000,4.0,13,1,盛通股份,10.03
11,华为昇腾,BK0995,1470.45,74.66,5.35,479391568000,7.87,27,2,拓维信息,10.01
12,昨日连板_含一字,BK1051,2641.66,132.92,5.3,288256624000,15.58,20,8,航锦科技,10.02
13,数据要素,BK1135,1155.83,57.75,5.26,1861298992000,7.25,124,4,航锦科技,10.02
14,AI制药,BK1170,1053.96,52.14,5.2,151672016000,6.46,16,0,贝瑞基因,10.01
15,信创,BK1104,1818.15,89.84,5.2,3809964032000,9.83,226,15,拓维信息,10.01
16,财税数字化,BK1176,1712.86,84.42,5.18,548343568000,9.59,38,3,华宇软件,20.05
17,华为欧拉,BK1013,1763.62,86.04,5.13,341156960000,11.91,17,0,拓维信息,10.01
18,算力概念,BK1134,1523.27,74.21,5.12,6600284672000,6.08,127,12,航锦科技,10.02
19,云计算,BK0579,3083.05,149.71,5.1,8318787072000,6.17,216,17,拓维信息,10.01
20,数字水印,BK1129,1080.67,51.65,5.02,116650600000,11.29,16,0,鸿博股份,10.03
21,网络安全,BK0655,4456.99,212.14,5.0,5058167040000,8.15,131,5,瑞斯康达,10.03
22,远程办公,BK0912,1549.5,73.34,4.97,825264128000,8.66,37,2,拓维信息,10.01
23,Sora概念,BK1159,1682.84,79.36,4.95,399977456000,12.61,37,2,天娱数科,9.97
24,AIGC概念,BK1111,2026.94,95.07,4.92,2070332960000,9.66,107,4,海南华铁,10.03
25,拼多多概念,BK0957,1274.12,56.55,4.64,149319352000,8.1,20,5,每日互动,20.01
26,国资云概念,BK1008,1460.99,64.45,4.61,378601344000,6.77,17,2,杭钢股份,9.97
27,大数据,BK0634,4889.17,213.39,4.56,5254490112000,6.15,280,27,拓维信息,10.01
