序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
1,000001,上证指数,3366.16,-0.19,-6.39,450380832,595026433923.3,0.85,3375.8,3347.19,3373.26,3372.55,0.92
2,399001,深证成指,10825.7,-0.17,-18.03,674926263,910633461539.7115,1.37,10896.11,10747.14,10862.93,10843.73,0.92
3,899050,北证50,1417.54,1.89,26.26,16972208,38619501065.0,2.36,1424.44,1391.67,1395.7,1391.28,0.85
4,399006,创业板指,2199.88,-0.25,-5.43,231584299,438592530373.39,1.6,2217.77,2182.58,2211.1,2205.31,0.89
5,000680,科创综指,1280.33,0.18,2.27,35068148,133821220747.0,1.65,1285.06,1264.03,1279.5,1278.06,0.9
6,000688,科创50,1105.16,-0.22,-2.46,35068148,133821220747.0,2.11,1111.74,1088.34,1107.31,1107.62,0.9
7,399750,深主板50,8515.15,-0.47,-40.4,27408907,53155864668.7,1.3,8573.87,8462.49,8558.61,8555.55,0.85
8,000300,沪深300,3928.8,-0.39,-15.21,152765232,292574987480.9,1.12,3949.14,3905.13,3945.58,3944.01,0.9
9,000016,上证50,2668.81,-0.49,-13.21,50838623,92839536793.0,1.14,2683.61,2653.03,2682.88,2682.02,1.05
10,399850,深证50,7317.62,-0.33,-24.08,23705473,75028401492.42,1.3,7361.94,7266.7,7349.67,7341.7,0.76
11,000888,上证综合全收益,3762.87,-0.19,-7.13,450380832,595026433923.3,0.85,3773.64,3741.65,3770.8,3770.0,0.92
12,399005,中小100,6718.46,-0.22,-14.77,37227913,75759124325.38,1.5,6768.89,6668.15,6741.34,6733.23,0.93
13,930050,中证A50,1566.21,-0.44,-6.96,37561475,88356888322.0,1.21,1576.98,1557.94,1574.7,1573.17,1.07
14,000903,中证A100,3770.14,-0.33,-12.63,71688410,158437247676.3,1.23,3791.98,3745.51,3786.15,3782.77,0.93
15,000510,中证A500,4677.52,-0.28,-13.04,266601763,451404970943.1,1.18,4703.32,4647.87,4695.09,4690.56,0.96
16,000904,中证200,4645.05,-0.23,-10.55,73808311,147228387042.0,1.21,4666.24,4609.81,4655.27,4655.6,0.85
17,000905,中证500,6013.62,0.0,-0.15,173044336,248513462299.4,1.16,6041.52,5971.81,6022.68,6013.77,0.94
18,000906,中证800,4275.5,-0.29,-12.22,325809568,541088449780.3,1.12,4296.87,4249.03,4290.64,4287.72,0.92
19,000852,中证1000,6520.97,0.2,13.21,256522113,374384335127.9,1.15,6541.59,6466.9,6519.03,6507.76,0.95
20,932000,中证2000,2654.65,0.39,10.35,337702433,419054487862.0,1.06,2660.52,2632.46,2648.98,2644.3,0.9
21,000985,中证全指,4961.58,-0.06,-3.19,1109294459,1503836068961.0,1.08,4981.24,4927.54,4969.71,4964.77,0.92
22,000010,上证180,8625.62,-0.34,-29.27,104014372,172696344635.0,1.07,8665.0,8572.01,8660.62,8654.89,0.93
23,000009,上证380,5588.04,0.36,19.93,69627057,112975841523.0,0.79,5591.53,5547.68,5573.37,5568.11,0.93
24,000132,上证100,5312.68,0.44,23.02,13710243,30348014911.0,1.02,5312.86,5259.03,5282.09,5289.66,1.14
25,000133,上证150,5214.41,0.26,13.73,16962312,33572495593.0,1.33,5233.85,5164.73,5215.77,5200.68,0.86
26,000003,Ｂ股指数,266.97,0.44,1.18,387368,171327022.3,0.76,266.97,264.94,265.48,265.79,0.92
27,000012,国债指数,222.96,-0.05,-0.11,8274596,8531784689.0,0.07,223.11,222.95,223.1,223.07,1.07
28,000013,企债指数,295.87,0.02,0.06,6203060,6258522224.0,0.01,295.89,295.87,295.89,295.81,1.47
29,000011,基金指数,7103.71,-0.4,-28.4,1131585573,178253998177.0,1.25,7147.08,7057.73,7129.46,7132.11,0.86
30,399002,深成指R,14278.51,-0.17,-23.78,443165070,471942028265.81,1.37,14371.37,14174.89,14327.61,14302.29,0.94
31,399003,成份Ｂ指,8130.93,-0.11,-8.57,176894,98902900.5116,1.4,8164.93,8051.29,8138.14,8139.5,1.03
32,399106,深证综指,2080.57,0.01,0.3,674926263,910633461539.7115,1.2,2090.23,2065.24,2083.46,2080.27,0.92
33,399004,深证100R,6542.61,-0.37,-24.28,40578326,112937537245.39,1.42,6588.53,6495.5,6573.69,6566.89,0.81
34,399007,深证300,4510.41,-0.23,-10.4,112785786,234812527026.84,1.41,4542.11,4478.41,4527.83,4520.81,0.89
35,399008,中小300,1371.43,-0.11,-1.46,132156834,186799353609.28,1.43,1380.6,1360.99,1375.66,1372.89,1.01
36,399293,创业大盘,4141.01,-0.13,-5.38,12269924,61056107471.63,1.46,4166.77,4106.27,4152.99,4146.39,0.74
37,399019,创业200,4050.99,-0.14,-5.65,70481365,123713015533.32,1.55,4077.45,4014.46,4062.98,4056.64,0.9
38,399020,创业小盘,1581.71,0.14,2.24,52776387,94633613223.81,1.42,1587.49,1565.13,1579.47,1579.47,0.84
39,399100,新指数,9785.45,0.01,0.87,660623061,905165131241.9,1.21,9831.65,9713.54,9799.58,9784.58,0.92
40,399550,央视50,7380.48,-0.22,-16.64,22558556,53621161532.14,1.04,7411.59,7334.75,7397.5,7397.12,0.98
