symbol,avg_real_change,top3_real_change,median_real_change,bottom3_real_change
bj836892,0.003141713028547799,"0.05105973025048163,0.057344064386317936,0.06972789115646251",0.0036295395134161596,"-0.09612903225806442,-0.048888888888888836,-0.043564356435643575"
bj837242,0.0024332986136416357,"0.0366552119129439,0.03678160919540213,0.10757409440175626",0.0032859338278431053,"-0.05465116279069775,-0.046315789473684345,-0.04020100502512555"
bj835179,0.0015006961320529887,"0.06218144750254836,0.07712625462229271,0.09453952730236335",0.0,"-0.07031250000000008,-0.05352941176470589,-0.048571428571428654"
bj838924,0.0011006835567997691,"0.055367231638417905,0.061285500747384175,0.08809135399673737",0.0029177662381884768,"-0.1214642262895174,-0.09007633587786258,-0.07528786536758206"
bj430418,0.0008956575532094302,"0.04537037037037039,0.06165703275529853,0.1173520561685055",-0.0008936557628417903,"-0.07191011235955043,-0.0586538461538461,-0.04185218165627788"
bj832885,0.0006467026423506784,"0.056998100063331246,0.06722689075630259,0.07394366197183092",-0.0010219398350914792,"-0.10222222222222228,-0.07101947308132886,-0.060249816311535656"
bj835184,0.0002463248331021091,"0.03073770491803286,0.03715846994535537,0.04890387858347387",0.0019082441970458153,"-0.05723370429252787,-0.05428571428571427,-0.040366972477064174"
bj830832,-5.7659980307777e-06,"0.06000000000000005,0.0675675675675676,0.06844741235392322",0.0,"-0.1711711711711712,-0.12499999999999993,-0.04964539007092203"
bj871553,-6.610940218372308e-06,"0.05387931034482759,0.07823960880195595,0.08910891089108908",0.0,"-0.07857142857142858,-0.07650273224043715,-0.0696969696969697"
bj831445,-6.596025530752017e-05,"0.07486209613869182,0.0835978835978837,0.10569522832221646",0.0,"-0.08555399719495095,-0.07967479674796751,-0.061679040548258235"
bj834765,-0.00022013761595132415,"0.05037037037037035,0.06936416184971105,0.07559055118110243",0.0,"-0.05666666666666664,-0.05629629629629628,-0.051118210862619716"
bj871857,-0.0002245352698533488,"0.04752475247524757,0.04845360824742275,0.06275303643724706",0.0009199612647888313,"-0.05965292841648597,-0.05084745762711867,-0.05047619047619042"
bj871245,-0.00036473632844457297,"0.06077738515901056,0.08249496981891351,0.18927087268605963",0.0,"-0.1348837209302325,-0.06925945657964841,-0.05123247945867562"
bj832225,-0.0004285639595092165,"0.06000000000000005,0.060483870967742076,0.08099173553719012",0.0,"-0.12591508052708644,-0.07104795737122549,-0.06845965770171134"
bj430198,-0.0004480769983605326,"0.044349070100143,0.061338289962825296,0.12387791741472179",0.0,"-0.1284916201117317,-0.05555555555555546,-0.0476900149031297"
bj833427,-0.0004818896195638674,"0.051529790660225346,0.056947608200455586,0.09915254237288135",0.0,"-0.062191510365251626,-0.05903614457831327,-0.05047619047619042"
bj831726,-0.000497969707817114,"0.055238095238095246,0.06353591160220991,0.15686274509803927",-0.0008249174415688862,"-0.07440890125173855,-0.06565176022835391,-0.06405228758169937"
bj835508,-0.000646759628765448,"0.04761904761904764,0.04999999999999993,0.06201550387596905",0.0,"-0.13778409090909088,-0.07457627118644058,-0.07093184979137687"
bj831856,-0.0006592681007044977,"0.04925373134328359,0.06944444444444435,0.10543130990415338",-0.0017574909577244288,"-0.07880910683012263,-0.05910735826296725,-0.04805914972273563"
