symbol,avg_real_change,top3_real_change,median_real_change,bottom3_real_change
sz002302,0.0070301254889891295,"0.10361842105263155,0.10403185664509705,0.11272727272727275",0.0024075323819261916,"-0.11100746268656711,-0.09219143576826187,-0.0857547838412474"
sz002839,0.00632085380195491,"0.1067434767875296,0.1073298429319372,0.1127499180596525",0.0036114685299499984,"-0.08812260536398464,-0.07438794726930313,-0.07234042553191476"
sz002846,0.005449332650257842,"0.10564853556485353,0.11539888682745823,0.18186347782760331",0.0034390408406156482,"-0.10864745011086471,-0.10071942446043164,-0.10040626813697043"
sz300176,0.0052905151225251116,"0.09194805194805193,0.09543193125282676,0.10063259530547697",0.0021415148161963863,"-0.13359374999999996,-0.1238302297003497,-0.09500805152979064"
sz300618,0.005117179314630477,"0.09855875831485587,0.09990373301957417,0.10827916524119052",0.0020490156689434284,"-0.11017028883243948,-0.09322033898305077,-0.08433382137628119"
sz002460,0.004988140605915111,"0.09011264080100133,0.09211571185479302,0.09391141023634371",0.00344827586206896,"-0.09533333333333331,-0.09336283185840706,-0.07017114914425422"
sz000830,0.0049118337587482404,"0.0878274268104777,0.09210526315789473,0.09242250287026413",0.004183673469387666,"-0.08454106280193228,-0.08253751705320594,-0.08163265306122457"
sz300607,0.004703707460476735,"0.08105755630508109,0.08325219084712752,0.10782608695652181",0.0036835207154556236,"-0.09822890311058206,-0.08527272727272736,-0.0699835975943139"
sz002807,0.0046275975632851015,"0.10722610722610709,0.10820158102766805,0.14871794871794863",0.0016264996564663253,"-0.10594315245478021,-0.09470304975922951,-0.09205903021784952"
sz002840,0.004539703912635678,"0.06779661016949151,0.08579465541490862,0.09104258443465486",0.003944773175542462,"-0.07787610619469033,-0.07296786389413988,-0.0467698519515478"
sz002833,0.00434161600372313,"0.0832146812213257,0.08760330578512392,0.09547267182735163",0.004323259226126959,"-0.06619483763530391,-0.056498488723552655,-0.05311111111111112"
sz002507,0.004324619296631374,"0.0593220338983052,0.06218365871294284,0.08879492600422849",0.0029762168386553243,"-0.04226156482010291,-0.037524687294272566,-0.030812324929971827"
sz002466,0.004116683757467907,"0.0782828282828284,0.08269923908690434,0.09251968503937",0.004669684732943404,"-0.10460875331564991,-0.08018867924528306,-0.06342592592592597"
sz002323,0.004012397472265688,"0.09278824069820853,0.10296096904441461,0.11732776617954066",0.002703055959975195,"-0.1109852774631937,-0.09508348794063083,-0.09143518518518508"
sz002034,0.004004196876670065,"0.07636363636363638,0.0782122905027933,0.08420418006430878",0.0030020013342228103,"-0.058754863813229495,-0.05847418912745551,-0.053692614770459036"
sz002307,0.00396133436020992,"0.10724472333143187,0.11345291479820632,0.11779704232534415",0.0009798366151957862,"-0.10006414368184725,-0.09074733096085405,-0.08208955223880592"
sz300355,0.003940169606906071,"0.09295774647887314,0.09360518999073214,0.0950792326939115",0.002483040902195406,"-0.10288335517693306,-0.09057971014492754,-0.08224543080939958"
sz000568,0.0037719944786421293,"0.04967055245818547,0.05283098295095765,0.05409604519774009",0.0021821162493471753,"-0.04791174152876279,-0.041055718475073257,-0.04086317722681345"
sz000786,0.0037618826148752907,"0.07893643539675939,0.08151735270379351,0.09825581395348845",0.0034612197629959023,"-0.09267563527653215,-0.0759573132454489,-0.0688372093023256"
sz000063,0.0036662722329325595,"0.0655307994757536,0.0808398950131235,0.0833121019108281",0.0025348542458809207,"-0.10622817229336434,-0.04654255319148924,-0.046395431834404026"
sz002430,0.003621589330762578,"0.09780775716694774,0.11006018916595021,0.11989630589760206",0.002137728161371024,"-0.11424541607898456,-0.1005056890012641,-0.09458577951728632"
sz000858,0.003590838743730168,"0.04951157500334522,0.05147058823529418,0.0574879227053139",0.0017667198357597788,"-0.05492537313432846,-0.04241684467500764,-0.0377756921633036"
sz000725,0.0035776613051655957,"0.07619047619047627,0.08244274809160305,0.08566433566433555",0.0025674998681642653,"-0.10000000000000002,-0.0698602794411177,-0.06346153846153847"
sz002035,0.0035035910711509574,"0.05685358255451717,0.06450511945392494,0.08811040339702761",0.004112353997202985,"-0.09010600706713784,-0.06428571428571428,-0.04920405209840819"
sz002836,0.003486063942797037,"0.1109139307897072,0.11764705882352935,0.1282051282051282",0.0007028730397103994,"-0.1035460992907801,-0.09736842105263152,-0.08939526730937782"
sz002194,0.003485600311269209,"0.11668107173725148,0.12590975254730716,0.13210568454763813",0.0,"-0.10423728813559326,-0.09318996415770602,-0.08381502890173402"
sz000877,0.00347979567753689,"0.08530510585305101,0.10218978102189787,0.10567210567210564",0.0017801798718461836,"-0.11269974768713202,-0.11199469847581188,-0.09821428571428574"
sz002236,0.003467526427620939,"0.07476993865030672,0.07917174177831905,0.08089199825098373",0.0023710882500028287,"-0.06922712185870085,-0.06575875486381315,-0.05310262529832938"
sz002843,0.003459700945288256,"0.09067357512953371,0.09446104343829004,0.17208701270730137",0.0,"-0.10518867924528304,-0.10407049937054136,-0.09805924412665995"
sz002457,0.0034047325403383792,"0.11040876527602195,0.11210762331838564,0.1321499013806706",0.0022921621828986974,"-0.11088911088911084,-0.10006293266205159,-0.08850090307043942"
sz002271,0.003370935405200956,"0.04649974450689832,0.05138121546961344,0.056800000000000066",0.0019292269988189252,"-0.05178958785249468,-0.0448365634943594,-0.04338842975206608"
sz000507,0.0033655890481371774,"0.08898678414096915,0.09615384615384612,0.09803921568627444",0.001267427122940404,"-0.09628770301624132,-0.09099350046425243,-0.07588075880758814"
sz002824,0.0033287230784145336,"0.1008975549365522,0.10569522832221646,0.11111111111111105",0.0,"-0.10189758253184304,-0.0960591133004925,-0.08992467043314502"
sz002056,0.0033253356712291617,"0.08552631578947362,0.09090909090909084,0.09400544959128058",0.0047350299592452474,"-0.08625592417061612,-0.08556149732620327,-0.08227848101265824"
sz002032,0.003279248814125341,"0.06575630252100831,0.07325301204819275,0.08298256163559832",0.0016867464983181082,"-0.04947916666666663,-0.03906633906633915,-0.032843991042547906"
sz002497,0.0032669650496946917,"0.08931860036832402,0.09598741148701814,0.09819639278557118",0.004451195350680264,"-0.10909090909090909,-0.10725893824485376,-0.09865152590489701"
sz002543,0.0032468100018380503,"0.050454545454545426,0.058362369337979086,0.07821229050279342",0.0011849255039438835,"-0.04504504504504501,-0.04044117647058819,-0.040394088669950576"
sz000546,0.00322438441103516,"0.08348348348348342,0.09187279151943471,0.09374999999999999",0.0031365499671713545,"-0.07923771313941834,-0.0682119205298014,-0.06712243629583582"
sz300263,0.003194293521462569,"0.07588075880758814,0.08066298342541421,0.09128630705394192",0.002284217658709577,"-0.10188087774294663,-0.07746478873239435,-0.07236842105263164"
sz000807,0.003165046294835759,"0.0915275200989488,0.10010214504596514,0.10429880197322049",0.0026385224274405768,"-0.10030395136778118,-0.08650519031141869,-0.0783521809369952"
sz002742,0.0031637834824875706,"0.08091603053435115,0.08550053437833981,0.09625668449197865",0.002109704641350241,"-0.09435483870967741,-0.08918617614269783,-0.0798258345428156"
sz002371,0.0031606033832532747,"0.06996336996336996,0.07798272239084746,0.09208819714656287",0.0025399556981553738,"-0.09241522133057209,-0.07614213197969544,-0.07117437722419932"
sz300398,0.00315240000487127,"0.08121827411167508,0.09114315139031941,0.11107448912326964",0.0042674253200568925,"-0.10974106041923559,-0.10653325485579768,-0.10029940119760479"
sz002300,0.003137516425618747,"0.09659442724458198,0.09754637941352488,0.0984042553191489",0.0025789823744595966,"-0.10582959641255603,-0.09544787077826718,-0.0906684315023163"
sz002080,0.0030644399388566044,"0.07323324789454412,0.07438016528925623,0.09556686046511624",0.003769142209838173,"-0.10102739726027395,-0.07083333333333322,-0.06659056316590563"
sz000933,0.0030538925157969224,"0.09299999999999997,0.09406392694063921,0.10590277777777768",0.002386813808715343,"-0.09682299546142203,-0.09057527539779685,-0.09027169149868547"
sz002320,0.0030507775615794233,"0.061440677966101705,0.06229036895064689,0.06368051807879133",0.003284875981718922,"-0.07734806629834245,-0.07049418604651154,-0.048603929679420774"
sz002008,0.003026874503656997,"0.06271072151045176,0.0660237388724036,0.08409539178769944",0.002682764516375488,"-0.08333333333333338,-0.04864341085271314,-0.04683253188375501"
sz000333,0.00298891243136804,"0.04699150338130733,0.048969072164948474,0.056123397138078346",0.0028087348337944543,"-0.050094161958568806,-0.035881753312945935,-0.03566832138260705"
sz002714,0.0029645888334990105,"0.08499377334993764,0.08667972575905972,0.08882854926299467",0.002394340908765852,"-0.10545532646048102,-0.08845696152320509,-0.06051660516605168"
sz000921,0.002918830041514692,"0.07454545454545457,0.07795698924731183,0.08198549916341322",0.0019369327795723968,"-0.06157112526539285,-0.05976095617529871,-0.057034220532319393"
sz300567,0.002904021915354614,"0.07103762827822126,0.08510271016744346,0.11863501030613018",0.0009998785627374955,"-0.11113867526668313,-0.08828869723104858,-0.060195227765726646"
sz300323,0.002897915274463219,"0.09691629955947145,0.09715407262021593,0.10557432432432433",0.004003612103192293,"-0.12023750618505688,-0.11913814955640045,-0.10630942091616252"
sz300482,0.0028952678730937136,"0.06495828367103694,0.07051282051282051,0.07977346278317152",0.003640482003509117,"-0.1095160574219329,-0.10628571428571425,-0.10087045570916532"
sz000670,0.002882275629582509,"0.09446254071661239,0.0972477064220184,0.11420612813370466",0.0030894690330483124,"-0.09283387622149827,-0.09090909090909091,-0.08723404255319132"
sz300225,0.0028656895481582526,"0.08346709470304983,0.09036544850498346,0.0907920154539601",0.001421971044969235,"-0.08537549407114625,-0.07216494845360827,-0.06278026905829595"
sz002222,0.0028581409011538433,"0.07828594973217959,0.09999999999999995,0.10071620411817368",0.0035083354312868296,"-0.08168884809545653,-0.07790055248618785,-0.05916666666666659"
sz000576,0.0028431230392458443,"0.04199634814363965,0.04381161007667035,0.04383886255924162",0.002924838077405338,"-0.10156895127993383,-0.055079559363525,-0.04621212121212117"
sz000799,0.002835870284091539,"0.08504273504273513,0.09554380664652572,0.09939002511661282",0.00023452157598502726,"-0.05255527364987312,-0.05149051490514901,-0.050909090909090855"
sz000789,0.0028267861987038134,"0.08664627930682972,0.09107635694572204,0.10172744721689064",0.0045605478883468985,"-0.10370370370370369,-0.08741594620557158,-0.07934336525307799"
sz002809,0.0028221813973416353,"0.09954751131221719,0.10214895496025903,0.11320754716981143",0.00237766136243855,"-0.10917404972849386,-0.10345911949685532,-0.09138708062093137"
sz002142,0.002811761935019207,"0.047381546134663305,0.04746835443037967,0.04951065054691994",0.0017420506424706316,"-0.036508841985168315,-0.03210741389375369,-0.02903405918481293"
sz300560,0.002755153274299893,"0.08232118758434541,0.09142242538316749,0.09796596097965958",0.0015195026677015278,"-0.095163806552262,-0.08154100685417148,-0.080653663679494"
sz000703,0.002750842134553209,"0.05969436485195797,0.06654783125371357,0.08274360370168751",0.003975567835068911,"-0.0864570737605804,-0.05199698568198955,-0.04822695035460991"
sz002451,0.0027464068918586046,"0.06875631951466124,0.08843873517786557,0.08865775136206056",0.001745563928050473,"-0.1053565094004967,-0.06542724347515201,-0.058595909342177926"
sz300136,0.002727637162541,"0.056467876692595814,0.06721065063345506,0.08659793814432988",0.0012962821043382097,"-0.0912280701754386,-0.05914285714285715,-0.045911949685534616"
sz002246,0.0026648918367048074,"0.1083815028901734,0.11386593204775024,0.11393746687864345",0.003514107219950765,"-0.10832137733142036,-0.10256410256410255,-0.09349593495934962"
sz002517,0.002656746950391854,"0.059376546264225595,0.059825823551684906,0.06532066508313537",0.0024624052940451563,"-0.10712684894666072,-0.0626731301939059,-0.04708290685772771"
sz002838,0.0026244081302635724,"0.09172413793103448,0.09375979931012862,0.09476932118718781",0.0002460024600245513,"-0.09542884071630531,-0.06751188589540398,-0.05413642960812757"
sz002677,0.0026170174023727893,"0.05010155721056197,0.05466666666666668,0.07123287671232884",0.002529256775937335,"-0.07164727495407237,-0.04224464060529645,-0.037623762376237525"
sz002475,0.0025902054528624723,"0.057414448669201444,0.059856630824372696,0.06692160611854685",0.0003993610223641378,"-0.06299212598425193,-0.0517786561264823,-0.04748260335652887"
sz002377,0.002558918098538758,"0.09014869888475842,0.09507640067911709,0.11214953271028032",0.0035650623885918825,"-0.09137577002053393,-0.05765199161425585,-0.05636363636363629"
sz300174,0.0025380354322973695,"0.05445116681071735,0.06489111241907,0.0889908256880735",0.0011784106640263365,"-0.03862660944206009,-0.0370671435538937,-0.036513761467889816"
sz000852,0.0025234587852319638,"0.09719370294318959,0.09940209267563528,0.11931514178705191",0.003867089364756622,"-0.09991460290350127,-0.09321266968325785,-0.07858546168958733"
