代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
sh000001,上证指数,3250.6007,-2.026,-0.062,3252.6264,3256.6136,3274.3924,3250.6007,387467642,450231535760
sh000002,Ａ股指数,3406.9776,-2.03,-0.06,3409.0079,3413.2984,3431.9837,3406.9776,387167031,449499858241
sh000003,Ｂ股指数,264.9297,-0.548,-0.207,265.478,265.6363,266.4734,264.354,170970,77109764
sh000004,工业指数,2794.7643,-15.649,-0.557,2810.4132,2811.284,2823.6397,2794.7643,226453969,325952560187
sh000005,商业指数,2535.2498,-8.601,-0.338,2543.8511,2548.3492,2563.1985,2535.2498,33313661,29523288203
sh000006,地产指数,4583.9209,5.86,0.128,4578.0607,4591.3495,4643.6639,4579.5457,5840300,3256260205
sh000007,公用指数,4503.8869,35.511,0.795,4468.3757,4476.513,4525.8183,4476.513,35849309,19491032826
sh000008,综合指数,3143.4212,24.7,0.792,3118.7211,3127.3235,3160.8011,3127.3235,86010404,72008394339
sh000009,上证380,5334.8935,-29.329,-0.547,5364.2222,5368.068,5391.7836,5334.8935,55240107,87572812475
sh000010,上证180,8357.4316,-7.98,-0.095,8365.4121,8379.4472,8416.6495,8357.4316,97090508,153007146434
sh000011,基金指数,6680.0666,-38.012,-0.566,6718.0784,6730.9087,6742.8008,6679.7031,847710556,156552360719
sh000012,国债指数,223.7181,0.296,0.133,223.422,223.4688,223.9814,223.4688,2344051,2560486826
sh000015,红利指数,3090.1869,39.126,1.282,3051.0608,3052.4702,3101.0589,3052.4702,31608820,24114324737
sh000016,上证50,2583.6516,4.556,0.177,2579.096,2582.8389,2597.351,2582.0869,39196764,74483969420
sh000017,新综指,2746.79,-1.699,-0.062,2748.4893,2751.8669,2766.9097,2746.79,381544884,442626509839
sh000018,180金融,5304.6331,12.922,0.244,5291.7115,5308.5472,5350.5224,5304.3261,34509682,34041445151
sh000019,治理指数,1089.4872,5.689,0.525,1083.7986,1086.0692,1094.3746,1086.0692,76723148,95024664983
sh000020,中型综指,1179.4735,-21.566,-1.796,1201.0398,1200.1124,1203.1206,1179.4735,60667307,109117303174
sh000021,180治理,961.9227,5.792,0.606,956.1305,958.137,965.9631,958.137,54850980,70315983756
sh000022,沪公司债,247.327,0.063,0.026,247.2636,247.3238,247.3271,247.3236,70100,67460457
sh000025,180基建,1818.6037,24.287,1.354,1794.3162,1797.6621,1824.0273,1797.6621,17553245,14634687209
sh000026,180资源,3638.0299,24.737,0.685,3613.293,3613.1383,3648.112,3611.6464,10115806,13212848193
sh000027,180运输,784.7632,3.808,0.488,780.9555,780.9071,788.2271,780.9071,5869341,4781777698
sh000028,180成长,3124.6303,-13.885,-0.442,3138.5151,3142.9842,3156.7689,3124.6303,17627832,50196053734
sh000029,180价值,4080.0086,36.21,0.895,4043.7983,4055.968,4094.6749,4055.968,50931171,46262520476
sh000030,180R成长,2030.7288,-10.504,-0.515,2041.2329,2043.3286,2050.8079,2030.7288,51230437,111262060048
sh000031,180R价值,2946.3972,13.584,0.463,2932.8136,2940.222,2960.934,2940.222,84533777,107328526790
sh000032,上证能源,1916.0759,20.854,1.1,1895.2219,1897.1857,1920.5074,1895.8364,15535977,9214984049
sh000033,上证材料,2272.4981,13.44,0.595,2259.0578,2260.6476,2286.5734,2260.6476,20930829,20108390560
sh000034,上证工业,2044.7613,-6.258,-0.305,2051.0193,2053.6883,2065.617,2044.7613,23655093,21894821220
sh000035,上证可选,2804.7465,-3.105,-0.111,2807.8516,2811.5562,2832.2879,2803.9733,15050726,22423412346
sh000036,上证消费,10982.5588,-10.176,-0.093,10992.7344,10998.5963,11082.6241,10979.6433,2629625,11159198506
sh000037,上证医药,5489.4833,7.819,0.143,5481.6648,5490.5478,5547.7764,5489.4833,3594541,9779929298
sh000038,上证金融,5282.074,20.476,0.389,5261.5976,5278.3171,5323.2817,5278.3171,30438550,30015176567
sh000039,上证信息,3717.5703,-92.104,-2.418,3809.6746,3810.3188,3810.3188,3717.3483,15905819,61271307696
sh000040,上证电信,3459.7674,6.691,0.194,3453.0767,3469.564,3479.5559,3451.1289,9229749,15272086935
sh000041,上证公用,2453.4374,39.681,1.644,2413.7568,2418.1211,2463.792,2418.1211,12766102,10166210930
sh000042,上证央企,1701.9024,9.14,0.54,1692.7624,1696.8261,1710.7445,1696.8261,47355355,48073507019
sh000043,超大盘,2058.2237,9.894,0.483,2048.3292,2049.6471,2066.0862,2049.6074,19755453,38604504685
sh000044,上证中盘,3877.6574,-7.03,-0.181,3884.6879,3894.025,3912.511,3877.6574,57893744,78523177014
sh000045,上证小盘,4522.3133,-46.178,-1.011,4568.4915,4570.9692,4584.547,4522.3133,87219892,95868489480
sh000046,上证中小,4199.6056,-23.319,-0.552,4222.9243,4229.5583,4246.1413,4199.6056,145113636,174391666494
sh000047,上证全指,3286.2474,-7.412,-0.225,3293.6596,3298.6569,3312.2813,3286.2474,184310400,248875635914
sh000048,责任指数,1369.8521,5.298,0.388,1364.5544,1368.315,1377.9805,1368.315,26235382,44203572775
sh000049,上证民企,1552.5228,-15.855,-1.011,1568.3782,1567.7465,1575.6601,1552.5228,19793723,50061476349
sh000050,50等权,2023.0359,1.173,0.058,2021.8633,2024.1116,2034.9594,2022.8897,39196764,74483969420
sh000051,180等权,7914.8619,-8.548,-0.108,7923.4102,7937.6902,7977.8157,7914.8619,97090508,153007146434
sh000052,50基本,2708.8073,17.835,0.663,2690.9722,2697.7109,2720.0523,2697.7109,39196764,74483969420
sh000053,180基本,11283.9597,69.625,0.621,11214.3351,11241.0266,11330.5187,11241.0266,97081806,152839871102
sh000054,上证海外,1342.1926,2.235,0.167,1339.9573,1342.6007,1350.6271,1341.421,45717015,53397702333
sh000055,上证地企,1333.1859,-1.843,-0.138,1335.0287,1337.1911,1342.4508,1333.1859,25958587,36975080181
sh000056,上证国企,1092.2315,7.684,0.708,1084.548,1086.1661,1095.9571,1086.1661,49446531,60622698417
sh000057,全指成长,3177.8064,-3.079,-0.097,3180.8851,3182.5232,3199.2504,3176.9049,31203154,64822339562
sh000058,全指价值,4260.2517,33.478,0.792,4226.7734,4237.7054,4276.4946,4237.7054,87182766,69034832105
sh000059,全R成长,2642.5083,-19.694,-0.74,2662.2021,2663.9962,2672.7657,2642.5083,108819661,189663458901
sh000060,全R价值,3899.9802,7.547,0.194,3892.4333,3901.0107,3924.4095,3899.9802,164799273,193875951444
sh000061,沪企债30,176.9455,0.034,0.019,176.9117,176.9455,176.9455,176.9455,0,0
sh000062,上证沪企,1822.9066,-11.729,-0.639,1834.6352,1837.5535,1845.6715,1822.9066,18703965,25156961639
sh000063,上证周期,3373.5871,13.776,0.41,3359.8108,3367.4314,3393.8155,3367.4314,43892619,47027067208
sh000064,非周期,3048.0558,-11.068,-0.362,3059.1243,3063.4686,3075.1074,3048.0558,40269311,98266219259
sh000065,上证龙头,3149.8385,-12.111,-0.383,3161.9495,3165.6268,3179.069,3149.8385,63687197,89850188864
sh000066,上证商品,2528.1906,13.863,0.551,2514.3272,2516.9456,2544.0433,2516.932,29571121,23210838257
sh000067,上证新兴,6718.8752,-59.53,-0.878,6778.4048,6785.5819,6813.0478,6718.7381,18652425,58450531796
sh000068,上证资源,2726.6361,5.201,0.191,2721.4347,2721.9132,2742.9951,2720.6228,23383784,20220078731
sh000069,消费80,4583.4303,1.525,0.033,4581.9056,4589.3833,4621.0757,4583.0622,13708837,34989894869
sh000070,能源等权,2691.0648,25.031,0.939,2666.0335,2669.9511,2705.6312,2669.1896,15535977,9214984049
sh000071,材料等权,3045.1785,2.675,0.088,3042.5034,3044.6921,3073.1262,3039.4183,20930829,20108390560
sh000072,工业等权,2701.4371,-7.767,-0.287,2709.2037,2711.4587,2725.1459,2701.4371,23655093,21894821220
sh000073,可选等权,3141.3287,-7.639,-0.243,3148.9673,3151.0763,3167.6845,3138.7911,15050726,22423412346
sh000074,消费等权,6990.4912,-10.425,-0.149,7000.9162,7007.8121,7066.9709,6987.7693,2629625,11159198506
sh000075,医药等权,6300.6617,9.948,0.158,6290.7136,6308.3559,6372.0142,6294.5355,3594541,9779929298
sh000076,金融等权,5143.6053,22.983,0.449,5120.6225,5133.1891,5178.0669,5133.1891,30224863,29843237256
sh000077,信息等权,4279.7252,-78.848,-1.809,4358.5733,4364.9803,4371.8804,4279.7252,15905819,61271307696
sh000078,电信等权,2947.1949,11.536,0.393,2935.6594,2959.29,2968.816,2944.1229,9229749,15272086935
sh000079,公用等权,2312.8518,32.567,1.428,2280.285,2284.4984,2322.4648,2284.4984,12766102,10166210930
sh000090,上证流通,1169.6352,-4.584,-0.39,1174.2188,1176.0355,1181.3259,1169.6352,381544884,442626509839
sh000091,沪财中小,10856.8784,-65.254,-0.597,10922.132,10943.1368,11009.1229,10853.4989,20918174,25386816708
sh000092,资源50,3377.0551,21.7,0.647,3355.3553,3358.4982,3392.4723,3357.9284,24191443,23338390165
sh000093,180分层,10808.8793,-4.12,-0.038,10812.999,10833.4053,10889.1426,10808.8793,97090508,153007146434
sh000094,上证上游,2977.8437,14.323,0.483,2963.5203,2963.86,2989.636,2962.7568,23217909,19984249603
sh000095,上证中游,2884.1553,-38.32,-1.311,2922.475,2919.5185,2928.6161,2884.1553,51386356,106744956388
sh000096,上证下游,4054.8666,3.844,0.095,4051.0228,4063.8544,4080.7144,4054.8666,38789934,61933962614
sh000097,高端装备,8436.9222,-157.013,-1.827,8593.9357,8586.5365,8617.157,8436.9222,17588243,64589361584
sh000098,上证F200,4935.9379,25.239,0.514,4910.6991,4921.3127,4962.3597,4921.3127,118317984,116382106176
sh000099,上证F300,7592.7968,-28.664,-0.376,7621.461,7634.889,7680.7164,7592.7968,73663151,84218880629
sh000100,上证F500,5506.4881,20.173,0.368,5486.3148,5497.8169,5539.5223,5497.8169,191981135,200600986805
sh000101,5年信用,245.2934,0.056,0.023,245.2373,245.2898,245.2934,245.2895,149200,149102922
sh000102,沪投资品,5504.0757,-19.251,-0.349,5523.3272,5527.8315,5555.504,5504.0757,22992960,27103675800
sh000103,沪消费品,7484.064,1.055,0.014,7483.0086,7492.1691,7559.5102,7484.064,3784975,15516913627
sh000104,380能源,1371.7902,10.655,0.783,1361.1348,1361.4911,1381.1185,1361.2685,2695940,2138879463
sh000105,380材料,3752.7096,-9.785,-0.26,3762.4944,3765.9619,3792.9216,3745.2089,8161002,8144159157
sh000106,380工业,4567.3062,-53.566,-1.159,4620.8722,4615.7097,4628.801,4564.4632,16671218,25069767674
sh000107,380可选,5382.9762,3.298,0.061,5379.6779,5373.6625,5413.6936,5358.8616,3176450,6327621471
sh000108,380消费,11899.8266,44.806,0.378,11855.0207,11878.2707,11991.6052,11869.0076,1520801,1953137685
sh000109,380医药,9533.2062,31.323,0.33,9501.8833,9524.0864,9651.3583,9523.264,2909693,6114342479
sh000110,380金融,3618.3997,12.376,0.343,3606.0241,3622.5881,3654.7638,3618.3997,6075618,4678070959
sh000111,380信息,7656.1841,-163.8,-2.095,7819.9838,7805.4002,7814.9381,7656.1841,5227754,20380207565
sh000112,380电信,4396.4682,-46.688,-1.051,4443.156,4477.7678,4480.0636,4396.4682,3701440,9863419117
sh000113,380公用,2595.3609,28.514,1.111,2566.8472,2573.2082,2607.2041,2573.2082,3570635,1958468540
sh000114,持续产业,1148.193,7.559,0.663,1140.6338,1140.861,1155.7936,1140.861,10293240,13573140198
sh000115,380等权,7026.8912,-41.554,-0.588,7068.4456,7076.2032,7107.7574,7026.8912,55240107,87572812475
sh000116,信用100,195.3549,0.055,0.028,195.2999,195.3352,195.3561,195.3352,18600,18085694
sh000117,380成长,3492.4746,-35.72,-1.012,3528.1944,3521.8629,3538.7463,3492.4746,9764988,26284472352
sh000118,380价值,8766.9134,61.397,0.705,8705.5164,8712.6559,8810.2644,8712.6559,23479807,18577138262
sh000119,380R成长,3470.8292,-40.818,-1.162,3511.6468,3512.6661,3521.9738,3470.8292,34222580,72276389919
sh000120,380R价值,8029.8051,1.817,0.023,8027.9878,8036.9117,8089.8696,8020.8513,47937399,64569055829
