,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
0,1,MLOps概念,BK1132,1004.78,68.17,7.28,196419856000,5.85,10,0,安恒信息,20.01
1,2,VPN,BK0885,1104.35,71.71,6.94,305156768000,7.66,21,0,优刻得-W,20.03
2,3,东数西算,BK1064,1430.87,92.87,6.94,1030785984000,3.64,52,7,天娱数科,10.0
3,4,华为昇腾,BK0995,1302.67,83.91,6.88,360379008000,6.65,27,0,拓维信息,10.01
4,5,远程办公,BK0912,1406.58,89.04,6.76,766585056000,4.78,39,0,三六零,10.0
5,6,DRG/DIP,BK1054,897.83,55.44,6.58,137142454000,5.55,18,0,国新健康,10.02
6,7,华为欧拉,BK1013,1541.7,93.44,6.45,294009904000,10.4,16,1,拓维信息,10.01
7,8,Web3.0,BK1110,1656.38,99.27,6.38,470093472000,7.57,46,1,天娱数科,10.0
8,9,多模态AI,BK1153,1113.77,66.67,6.37,834327456000,6.98,49,0,竞业达,9.99
9,10,智谱AI,BK1182,1086.14,65.0,6.37,377633696000,11.01,33,1,优刻得-W,20.03
10,11,数据安全,BK1047,908.17,52.86,6.18,914094624000,3.29,78,1,竞业达,9.99
11,12,Kimi概念,BK1169,1116.21,62.29,5.91,535799504000,10.65,23,2,天娱数科,10.0
12,13,数据确权,BK1118,1462.96,81.48,5.9,278481488000,5.44,33,0,天娱数科,10.0
13,14,Sora概念,BK1159,1546.92,84.57,5.78,370547232000,8.81,38,2,天娱数科,10.0
14,15,信创,BK1104,1620.41,88.49,5.78,3471547312000,6.13,231,9,天娱数科,10.0
15,16,国资云概念,BK1008,1299.29,70.53,5.74,329506944000,4.14,16,1,杭钢股份,10.0
16,17,数字水印,BK1129,981.52,51.64,5.55,105729319000,9.61,16,1,北信源,16.8
17,18,智慧政务,BK0886,1233.21,64.48,5.52,599093264000,7.08,77,3,南威软件,10.02
18,19,AI芯片,BK1127,1234.91,63.64,5.43,1196259776000,3.98,23,3,航锦科技,10.01
19,20,财税数字化,BK1176,1540.72,78.47,5.37,487245104000,8.18,38,3,用友网络,9.99
20,21,网络安全,BK0655,4011.46,193.74,5.07,4785129984000,5.07,129,6,三六零,10.0
21,22,数据要素,BK1135,1039.4,50.12,5.07,1683967040000,4.09,120,8,航锦科技,10.01
22,23,云计算,BK0579,2761.29,133.14,5.07,7781440512000,4.05,211,19,三六零,10.0
23,24,时空大数据,BK1130,1156.51,54.81,4.98,132274954000,5.34,22,1,飞利信,20.08
24,25,国产软件,BK0696,3024.14,142.49,4.94,3052101104000,5.43,226,8,竞业达,9.99
25,26,ChatGPT概念,BK1126,1919.61,89.74,4.9,2036992432000,5.1,68,8,天娱数科,10.0
26,27,虚拟数字人,BK1055,1172.37,54.09,4.84,3370020832000,8.19,73,8,天娱数科,10.0
27,28,在线教育,BK0662,2022.33,92.58,4.8,1518071840000,5.47,108,10,天娱数科,10.0
28,29,电子车牌,BK0982,1273.1,57.95,4.77,151774155000,4.07,18,0,南威软件,10.02
29,30,元宇宙概念,BK1009,1944.1,88.03,4.74,4405990144000,5.24,130,12,天娱数科,10.0
30,31,AIGC概念,BK1111,1847.12,81.95,4.64,1917960448000,7.44,100,12,天娱数科,10.0
31,32,电子身份证,BK1075,1154.02,50.41,4.57,318706528000,5.05,34,1,南威软件,10.02
32,33,算力概念,BK1134,1351.16,58.01,4.49,6199655936000,3.82,123,16,航锦科技,10.01
33,34,数字经济,BK1061,1125.02,48.29,4.48,1620416992000,4.85,152,9,天娱数科,10.0
34,35,大数据,BK0634,4444.82,188.62,4.43,4833496064000,4.03,283,22,每日互动,20.0
35,36,鸿蒙概念,BK0953,1391.82,58.91,4.42,2047900512000,5.33,100,9,每日互动,20.0
36,37,边缘计算,BK0860,1831.49,76.91,4.38,2726601392000,4.53,114,9,航锦科技,10.01
37,38,存储芯片,BK1137,1237.71,51.68,4.36,973799728000,3.53,51,3,航锦科技,10.01
38,39,数字孪生,BK0861,1309.43,53.7,4.28,939931488000,2.72,76,3,金桥信息,9.98
39,40,人脑工程,BK0706,3928.22,160.11,4.25,342127920000,6.74,19,1,岩山科技,10.07
40,41,IPv6,BK0897,1226.65,48.76,4.14,583970192000,3.09,12,0,网宿科技,17.2
41,42,ERP概念,BK1133,1185.09,46.68,4.1,241979033000,9.14,14,3,用友网络,9.99
42,43,RCS概念,BK0919,1300.39,51.19,4.1,201646632000,5.46,22,1,梦网科技,10.04
43,44,百度概念,BK0845,1584.1,61.56,4.04,2507488048000,5.7,133,11,天娱数科,10.0
44,45,智慧城市,BK0628,4604.36,177.95,4.02,2439893504000,3.53,197,19,竞业达,9.99
45,46,云游戏,BK0903,1124.48,43.03,3.98,304673200000,4.15,25,1,优刻得-W,20.03
46,47,快手概念,BK0972,1536.73,58.67,3.97,272941136000,12.04,28,4,每日互动,20.0
47,48,AI语料,BK1172,982.06,36.85,3.9,348818544000,10.0,21,4,天娱数科,10.0
48,49,空间计算,BK1143,1121.64,41.81,3.87,128301277000,4.46,21,2,每日互动,20.0
49,50,数字哨兵,BK1084,1360.49,50.66,3.87,81551937000,3.31,11,1,云赛智联,10.0
50,51,人工智能,BK0800,1446.87,53.69,3.85,9133590272000,4.15,522,58,航锦科技,10.01
51,52,网络游戏,BK0509,11063.72,409.82,3.85,920683072000,4.33,61,10,天娱数科,10.0
52,53,AI智能体,BK0809,1075.55,39.54,3.82,310882800000,11.98,17,5,三六零,10.0
53,54,职业教育,BK1022,1134.06,41.53,3.8,637848704000,4.79,66,6,竞业达,9.99
54,55,星闪概念,BK1149,1332.03,48.4,3.77,501063808000,4.64,31,4,当虹科技,20.0
55,56,区块链,BK0830,976.7,35.13,3.73,7949496832000,2.05,207,27,三六零,10.0
56,57,手游概念,BK0642,1134.45,40.22,3.68,761317344000,3.42,44,6,天娱数科,10.0
57,58,数字货币,BK0883,1644.78,58.21,3.67,787534704000,3.75,71,5,梦网科技,10.04
58,59,人形机器人,BK1184,1217.43,42.39,3.61,1114452112000,5.29,66,7,天娱数科,10.0
59,60,商汤概念,BK0942,1143.95,39.71,3.6,501552560000,2.45,11,3,飞利信,20.08
60,61,AIPC,BK1164,1426.93,49.49,3.59,910215360000,4.23,37,4,泰嘉股份,10.0
61,62,AI手机,BK1162,1345.77,46.34,3.57,844658768000,3.83,30,4,每日互动,20.0
62,63,机器视觉,BK0998,1482.55,50.15,3.5,496069264000,5.86,64,5,智信精密,20.0
63,64,抖音概念(字节概念),BK0923,1323.54,44.72,3.5,787374656000,9.01,67,11,天娱数科,10.0
64,65,互联医疗,BK0837,906.26,29.23,3.33,4830089472000,2.2,89,13,浙大网新,9.94
