date,count,symbols
20140102,0,[]
20140103,0,[]
20140106,0,[]
20140107,0,[]
20140108,0,[]
20140109,0,[]
20140110,0,[]
20140113,0,[]
20140114,0,[]
20140115,0,[]
20140116,0,[]
20140117,0,[]
20140120,0,[]
20140121,0,[]
20140122,0,[]
20140123,0,[]
20140124,0,[]
20140127,0,[]
20140128,0,[]
20140129,0,[]
20140130,0,[]
20140207,0,[]
20140210,0,[]
20140211,0,[]
20140212,0,[]
20140213,0,[]
20140214,0,[]
20140217,0,[]
20140218,0,[]
20140219,0,[]
20140220,0,[]
20140221,0,[]
20140224,0,[]
20140225,0,[]
20140226,0,[]
20140227,0,[]
20140228,0,[]
20140303,0,[]
20140304,0,[]
20140305,0,[]
20140306,0,[]
20140307,0,[]
20140310,0,[]
20140311,0,[]
20140312,0,[]
20140313,0,[]
20140314,0,[]
20140317,0,[]
20140318,0,[]
20140319,0,[]
20140320,0,[]
20140321,0,[]
20140324,0,[]
20140325,0,[]
20140326,0,[]
20140327,0,[]
20140328,0,[]
20140331,0,[]
20140401,0,[]
20140402,0,[]
20140403,0,[]
20140404,0,[]
20140408,0,[]
20140409,0,[]
20140410,0,[]
20140411,0,[]
20140414,0,[]
20140415,0,[]
20140416,0,[]
20140417,0,[]
20140418,0,[]
20140421,0,[]
20140422,0,[]
20140423,0,[]
20140424,0,[]
20140425,0,[]
20140428,0,[]
20140429,0,[]
20140430,0,[]
20140505,0,[]
20140506,0,[]
20140507,0,[]
20140508,0,[]
20140509,0,[]
20140512,0,[]
20140513,0,[]
20140514,0,[]
20140515,0,[]
20140516,0,[]
20140519,0,[]
20140520,0,[]
20140521,0,[]
20140522,0,[]
20140523,0,[]
20140526,0,[]
20140527,0,[]
20140528,0,[]
20140529,0,[]
20140530,0,[]
20140603,0,[]
20140604,0,[]
20140605,0,[]
20140606,0,[]
20140609,0,[]
20140610,0,[]
20140611,0,[]
20140612,0,[]
20140613,0,[]
20140616,0,[]
20140617,0,[]
20140618,0,[]
20140619,0,[]
20140620,0,[]
20140623,0,[]
20140624,0,[]
20140625,0,[]
20140626,0,[]
20140627,0,[]
20140630,0,[]
20140701,0,[]
20140702,0,[]
20140703,0,[]
20140704,0,[]
20140707,0,[]
20140708,0,[]
20140709,0,[]
20140710,0,[]
20140711,0,[]
20140714,0,[]
20140715,0,[]
20140716,0,[]
20140717,0,[]
20140718,0,[]
20140721,0,[]
20140722,0,[]
20140723,0,[]
20140724,0,[]
20140725,0,[]
20140728,0,[]
20140729,0,[]
20140730,0,[]
20140731,0,[]
20140801,0,[]
20140804,0,[]
20140805,0,[]
20140806,0,[]
20140807,0,[]
20140808,0,[]
20140811,0,[]
20140812,0,[]
20140813,0,[]
20140814,0,[]
20140815,0,[]
20140818,0,[]
20140819,0,[]
20140820,0,[]
20140821,0,[]
20140822,0,[]
20140825,0,[]
