date,symbols,count
2020-02-13,"sh600133,sh600186,sh600448,sh600493,sh603089,sh603477,sz000592,sz000833,sz002082,sz002237,sz002321,sz002556,sz002715,sz002772,sz002868,sz300055,sz300106,sz300664,sz300761,sz300777",20
2020-02-14,"sh600113,sh600179,sh600515,sh600595,sh601878,sh603006,sh603109,sh603286,sh603421,sh603787,sh603885,sz000070,sz000158,sz000425,sz000560,sz000597,sz000750,sz002005,sz002217,sz002369,sz002442,sz002636,sz002848,sz002855,sz300004,sz300490,sz300680",27
2020-02-17,"sh600072,sh600080,sh600105,sh600121,sh600151,sh600186,sh600225,sh600241,sh600243,sh600255,sh600257,sh600365,sh600375,sh600386,sh600396,sh600399,sh600419,sh600462,sh600480,sh600523,sh600530,sh600561,sh600613,sh600654,sh600661,sh600676,sh600698,sh600706,sh600721,sh600730,sh600740,sh600815,sh600860,sh600977,sh600996,sh601002,sh601113,sh601127,sh601177,sh601375,sh601700,sh601718,sh601872,sh601890,sh601949,sh603035,sh603058,sh603063,sh603085,sh603101,sh603117,sh603198,sh603268,sh603333,sh603348,sh603389,sh603398,sh603600,sh603607,sh603630,sh603779,sh603808,sh603876,sh603879,sh603895,sh603919,sh688009,sh688033,sz000010,sz000017,sz000040,sz000068,sz000564,sz000592,sz000626,sz000632,sz000663,sz000669,sz000737,sz000788,sz000793,sz000816,sz000820,sz000822,sz000850,sz000856,sz000859,sz000999,sz002009,sz002021,sz002046,sz002047,sz002092,sz002094,sz002172,sz002181,sz002200,sz002238,sz002263,sz002316,sz002321,sz002346,sz002354,sz002416,sz002420,sz002445,sz002485,sz002490,sz002494,sz002510,sz002529,sz002535,sz002545,sz002586,sz002596,sz002638,sz002662,sz002689,sz002703,sz002712,sz002802,sz002865,sz002866,sz002875,sz002877,sz002885,sz002917,sz300018,sz300025,sz300027,sz300039,sz300050,sz300061,sz300071,sz300086,sz300094,sz300100,sz300106,sz300125,sz300126,sz300137,sz300157,sz300169,sz300189,sz300247,sz300254,sz300256,sz300275,sz300304,sz300310,sz300340,sz300344,sz300364,sz300374,sz300399,sz300444,sz300475,sz300527,sz300621,sz300643,sz300700,sz300716,sz300719,sz300733,sz300780,sz300783",166
2020-02-18,"sh600448,sh600537,sh603987",3
2020-02-19,bj834021,1
2020-02-20,"sh600241,sh600257,sh600386,sh600530,sh600698,sh600740,sh600775,sh601127,sh601872,sh603053,sh603058,sh603109,sh603268,sh603321,sz000040,sz000425,sz000560,sz000592,sz000816,sz000822,sz000850,sz002005,sz002047,sz002075,sz002181,sz002274,sz002305,sz002420,sz002596,sz002638,sz002778,sz300013,sz300018,sz300027,sz300039,sz300137,sz300310,sz300364,sz300680",39
2020-02-21,"sh600080,sh600448,sh600523,sh600613,sh600622,sh600885,sh601718,sh603779,sz000652,sz000655,sz000788,sz000800,sz000897,sz002172,sz300034,sz300055,sz300086,sz300147,sz300254,sz300575",20
2020-02-24,"sh600313,sh600537,sh600661,sh600796,sz000597,sz002321,sz300189",7
2020-02-25,"sh600179,sh600515,sh600815,sh601127,sz000859,sz002638,sz300032,sz300621",8
2020-02-26,"sh600248,sh600257,sh600313,sh600386,sh600523,sh600676,sh600730,sh600740,sh601002,sh603035,sh603268,sh688009,sz000017,sz000560,sz000564,sz000816,sz000897,sz002009,sz002021,sz002047,sz002321,sz002445,sz002596,sz300027,sz300106,sz300317,sz300374,sz300527,sz300680,sz300733",30
